Terminal_Route_Id,Terminal_Id,Route_Id,Transport_Type_Id
1,1,5,2
2,1,6,2
3,1,8,2
4,1,9,2
5,1,10,1
6,1,11,2
7,1,13,2
8,1,16,2
9,1,24,2
10,1,29,2
11,2,5,2
12,2,6,2
13,2,8,2
14,2,9,2
15,2,10,1
16,2,11,2
17,2,13,2
18,2,16,2
19,2,24,2
20,2,29,2
21,3,5,2
22,3,6,2
23,3,8,2
24,3,9,2
25,3,10,1
26,3,11,2
27,3,13,2
28,3,16,2
29,3,24,2
30,3,29,2
31,4,5,2
32,4,6,2
33,4,8,2
34,4,9,2
35,4,10,1
36,4,11,2
37,4,13,2
38,4,16,2
39,4,24,2
40,4,29,2
41,5,5,2
42,5,6,2
43,5,8,2
44,5,9,2
45,5,10,1
46,5,11,2
47,5,13,2
48,5,16,2
49,5,24,2
50,5,29,2
51,6,1,2
52,6,3,2
53,6,4,2
54,6,5,2
55,6,17,2
56,6,28,2
57,6,38,2
58,6,43,1
59,7,1,2
60,7,3,2
61,7,4,2
62,7,5,2
63,7,17,2
64,7,28,2
65,7,38,2
66,7,43,1
67,8,1,2
68,8,3,2
69,8,4,2
70,8,5,2
71,8,17,2
72,8,28,2
73,8,38,2
74,8,43,1
75,9,16,2
76,9,17,2
77,9,18,2
78,9,38,2
79,9,44,1
80,10,9,2
81,10,12,2
82,10,14,2
83,10,15,1
84,10,40,1
85,11,9,2
86,11,12,2
87,11,14,2
88,11,15,1
89,11,40,1
90,12,18,2
91,12,19,1
92,12,45,2
93,13,18,2
94,13,19,1
95,13,45,2
96,14,2,2
97,14,4,2
98,14,6,2
99,14,7,2
100,14,39,1
101,15,2,2
102,15,4,2
103,15,6,2
104,15,7,2
105,15,39,1
106,16,1,2
107,16,3,2
108,16,4,2
109,16,5,2
110,16,17,2
111,16,28,2
112,16,38,2
113,16,43,1
114,17,7,2
115,17,8,2
116,17,12,2
117,17,13,2
118,17,30,2
119,18,7,2
120,18,8,2
121,18,12,2
122,18,13,2
123,18,30,2
124,19,7,2
125,19,8,2
126,19,12,2
127,19,13,2
128,19,30,2
129,20,1,2
130,20,2,2
131,20,27,2
132,20,42,2
133,21,7,2
134,21,8,2
135,21,12,2
136,21,13,2
137,21,30,2
138,22,2,2
139,22,4,2
140,22,6,2
141,22,7,2
142,22,39,1
143,23,11,2
144,23,22,1
145,23,23,2
146,23,46,2
147,24,23,2
148,24,24,2
149,25,10,1
150,25,22,1
151,25,25,1
152,25,26,1
153,25,34,1
154,25,35,1
155,25,36,1
156,25,39,1
157,25,40,1
158,25,43,1
159,26,5,2
160,26,6,2
161,26,8,2
162,26,9,2
163,26,10,1
164,26,11,2
165,26,13,2
166,26,16,2
167,26,24,2
168,26,29,2
169,27,5,2
170,27,6,2
171,27,8,2
172,27,9,2
173,27,10,1
174,27,11,2
175,27,13,2
176,27,16,2
177,27,24,2
178,27,29,2
179,28,5,2
180,28,6,2
181,28,8,2
182,28,9,2
183,28,10,1
184,28,11,2
185,28,13,2
186,28,16,2
187,28,24,2
188,28,29,2
189,29,5,2
190,29,6,2
191,29,8,2
192,29,9,2
193,29,10,1
194,29,11,2
195,29,13,2
196,29,16,2
197,29,24,2
198,29,29,2
199,30,5,2
200,30,6,2
201,30,8,2
202,30,9,2
203,30,10,1
204,30,11,2
205,30,13,2
206,30,16,2
207,30,24,2
208,30,29,2
209,31,7,2
210,31,8,2
211,31,12,2
212,31,13,2
213,31,30,2
214,32,16,2
215,32,17,2
216,32,18,2
217,32,38,2
218,32,44,1
219,33,2,2
220,33,4,2
221,33,6,2
222,33,7,2
223,33,39,1
224,34,1,2
225,34,3,2
226,34,4,2
227,34,5,2
228,34,17,2
229,34,28,2
230,34,38,2
231,34,43,1
232,35,9,2
233,35,12,2
234,35,14,2
235,35,15,1
236,35,40,1
237,36,18,2
238,36,19,1
239,36,45,2
240,37,15,1
241,37,19,1
242,37,20,1
243,37,21,1
244,37,41,1
245,38,21,1
246,38,31,1
247,38,32,1
248,39,20,1
249,39,31,1
250,40,14,2
251,40,33,2
252,40,37,2
253,41,11,2
254,41,22,1
255,41,23,2
256,41,46,2
257,42,10,1
258,42,22,1
259,42,25,1
260,42,26,1
261,42,34,1
262,42,35,1
263,42,36,1
264,42,39,1
265,42,40,1
266,42,43,1
267,43,1,2
268,43,2,2
269,43,27,2
270,43,42,2
271,44,3,2
272,45,27,2
273,45,28,2
274,46,2,2
275,46,4,2
276,46,6,2
277,46,7,2
278,46,39,1
279,47,2,2
280,47,4,2
281,47,6,2
282,47,7,2
283,47,39,1
284,48,2,2
285,48,4,2
286,48,6,2
287,48,7,2
288,48,39,1
289,49,1,2
290,49,3,2
291,49,4,2
292,49,5,2
293,49,17,2
294,49,28,2
295,49,38,2
296,49,43,1
297,50,1,2
298,50,3,2
299,50,4,2
300,50,5,2
301,50,17,2
302,50,28,2
303,50,38,2
304,50,43,1
305,51,1,2
306,51,3,2
307,51,4,2
308,51,5,2
309,51,17,2
310,51,28,2
311,51,38,2
312,51,43,1
313,52,1,2
314,52,3,2
315,52,4,2
316,52,5,2
317,52,17,2
318,52,28,2
319,52,38,2
320,52,43,1
321,53,7,2
322,53,8,2
323,53,12,2
324,53,13,2
325,53,30,2
326,54,7,2
327,54,8,2
328,54,12,2
329,54,13,2
330,54,30,2
331,55,7,2
332,55,8,2
333,55,12,2
334,55,13,2
335,55,30,2
336,56,7,2
337,56,8,2
338,56,12,2
339,56,13,2
340,56,30,2
341,57,16,2
342,57,17,2
343,57,18,2
344,57,38,2
345,57,44,1
346,58,18,2
347,58,19,1
348,58,45,2
349,59,18,2
350,59,19,1
351,59,45,2
352,60,15,1
353,60,19,1
354,60,20,1
355,60,21,1
356,60,41,1
357,61,15,1
358,61,19,1
359,61,20,1
360,61,21,1
361,61,41,1
362,62,14,2
363,62,33,2
364,62,37,2
365,63,9,2
366,63,12,2
367,63,14,2
368,63,15,1
369,63,40,1
370,64,10,1
371,64,22,1
372,64,25,1
373,64,26,1
374,64,34,1
375,64,35,1
376,64,36,1
377,64,39,1
378,64,40,1
379,64,43,1
380,65,10,1
381,65,22,1
382,65,25,1
383,65,26,1
384,65,34,1
385,65,35,1
386,65,36,1
387,65,39,1
388,65,40,1
389,65,43,1
390,66,10,1
391,66,22,1
392,66,25,1
393,66,26,1
394,66,34,1
395,66,35,1
396,66,36,1
397,66,39,1
398,66,40,1
399,66,43,1
400,67,23,2
401,67,24,2
402,68,29,2
403,68,30,2
404,69,29,2
405,69,30,2
406,70,29,2
407,70,30,2
408,71,1,2
409,71,2,2
410,71,27,2
411,71,42,2
412,72,1,2
413,72,2,2
414,72,27,2
415,72,42,2
416,73,3,2
417,74,27,2
418,74,28,2
419,75,27,2
420,75,28,2
421,76,21,1
422,76,31,1
423,76,32,1
424,77,32,1
425,78,37,2
426,79,26,1
427,79,36,1
428,80,25,1
429,80,35,1
430,81,34,1
